15 seconds no increase

  G12: Score 0.5 | P(Delta >= 5) = 0.502 | continue
  G13: Score 0.5 | P(Delta >= 5) = 0.480 | continue
  G14: Score 0.5 | P(Delta >= 5) = 0.467 | continue
  G15: Score 1.0 | P(Delta >= 5) = 0.612 | continue
  G16: Score 0.0 | P(Delta >= 5) = 0.471 | continue
  G17: Score 0.5 | P(Delta >= 5) = 0.467 | continue
  G18: Score 1.0 | P(Delta >= 5) = 0.605 | continue
  G19: Score 1.0 | P(Delta >= 5) = 0.680 | continue
  G20: Score 0.5 | P(Delta >= 5) = 0.679 | continue
  G21: Score 1.0 | P(Delta >= 5) = 0.738 | continue
  G22: Score 0.5 | P(Delta >= 5) = 0.762 | continue
  G23: Score 0.5 | P(Delta >= 5) = 0.745 | continue
  G24: Score 0.5 | P(Delta >= 5) = 0.762 | continue
  G25: Score 0.5 | P(Delta >= 5) = 0.781 | continue
  G26: Score 0.5 | P(Delta >= 5) = 0.767 | continue
  G27: Score 0.5 | P(Delta >= 5) = 0.746 | continue
  G28: Score 0.0 | P(Delta >= 5) = 0.668 | continue
  G29: Score 1.0 | P(Delta >= 5) = 0.763 | continue
  G30: Score 0.5 | P(Delta >= 5) = 0.728 | continue
  G31: Score 1.0 | P(Delta >= 5) = 0.817 | continue
  G32: Score 0.0 | P(Delta >= 5) = 0.725 | continue
  G33: Score 0.5 | P(Delta >= 5) = 0.725 | continue
  G34: Score 0.5 | P(Delta >= 5) = 0.725 | continue
  G35: Score 0.0 | P(Delta >= 5) = 0.642 | continue
  G36: Score 1.0 | P(Delta >= 5) = 0.714 | continue
  G37: Score 1.0 | P(Delta >= 5) = 0.788 | continue
  G38: Score 0.0 | P(Delta >= 5) = 0.703 | continue
  G39: Score 1.0 | P(Delta >= 5) = 0.746 | continue
  G40: Score 0.5 | P(Delta >= 5) = 0.762 | continue
  G41: Score 1.0 | P(Delta >= 5) = 0.830 | continue
  G42: Score 0.5 | P(Delta >= 5) = 0.818 | continue
  G43: Score 1.0 | P(Delta >= 5) = 0.870 | continue
  G44: Score 0.5 | P(Delta >= 5) = 0.859 | continue
  G45: Score 1.0 | P(Delta >= 5) = 0.901 | continue
  G46: Score 0.0 | P(Delta >= 5) = 0.872 | continue
  G47: Score 1.0 | P(Delta >= 5) = 0.876 | continue
  G48: Score 0.5 | P(Delta >= 5) = 0.882 | continue
  G49: Score 1.0 | P(Delta >= 5) = 0.918 | continue
  G50: Score 0.0 | P(Delta >= 5) = 0.879 | accept_H0

--- ITERATION 15: Tuning LMR_slope (0.89 -> 0.61) ---
  G1: Score 1.0 | P(Delta >= 5) = 0.821 | continue
  G2: Score 0.5 | P(Delta >= 5) = 0.827 | continue
  G3: Score 0.5 | P(Delta >= 5) = 0.838 | continue
  G4: Score 0.5 | P(Delta >= 5) = 0.836 | continue
  G5: Score 1.0 | P(Delta >= 5) = 0.900 | continue
  G6: Score 0.0 | P(Delta >= 5) = 0.683 | continue
  G7: Score 0.5 | P(Delta >= 5) = 0.665 | continue
  G8: Score 0.5 | P(Delta >= 5) = 0.652 | continue
